timestamp,room_temperature,target_temperature,temp_diff,hvac_status,is_day,day_type,intensity,state,motion,location,anomaly
2024-11-06 09:35,71.997,72,0.003,idle,true,1,77,on,false,living room,false
2024-11-06 09:36,72.000,72,0.000,idle,true,1,77,off,true,living room,false
2024-11-06 09:37,72.027,72,0.027,idle,true,1,77,off,true,living room,false
2024-11-06 09:38,72.055,72,0.055,idle,true,1,77,off,true,living room,false
2024-11-06 09:39,72.074,72,0.074,idle,true,1,77,off,true,living room,false
2024-11-06 09:40,72.091,72,0.091,idle,true,1,77,off,true,living room,false
2024-11-06 09:41,72.086,72,0.086,idle,true,1,77,off,true,living room,false
2024-11-06 09:42,72.098,72,0.098,idle,true,1,77,off,true,living room,false
2024-11-06 09:43,72.081,72,0.081,idle,true,1,74,on,false,living room,false
2024-11-06 09:44,72.067,72,0.067,idle,true,1,73,on,true,living room,false
2024-11-06 09:45,72.088,72,0.088,idle,true,1,73,on,true,living room,false
2024-11-06 09:46,72.084,72,0.084,idle,true,1,73,off,true,living room,false
2024-11-06 09:47,72.093,72,0.093,idle,true,1,73,off,true,living room,false
2024-11-06 09:48,72.114,72,0.114,idle,true,1,73,off,true,living room,false
2024-11-06 09:49,72.108,72,0.108,idle,true,1,73,off,false,living room,false
2024-11-06 09:50,72.089,72,0.089,idle,true,1,73,off,true,living room,false
2024-11-06 09:51,72.115,72,0.115,idle,true,1,73,off,true,living room,false
2024-11-06 09:52,72.100,72,0.100,idle,true,1,73,off,true,living room,false
2024-11-06 09:53,72.092,72,0.092,idle,true,1,79,on,true,living room,false
2024-11-06 09:54,72.074,72,0.074,idle,true,1,79,off,false,living room,false
2024-11-06 09:55,72.057,72,0.057,idle,true,1,79,off,false,living room,false
2024-11-06 09:56,72.056,72,0.056,idle,true,1,79,off,false,living room,false
2024-11-06 09:57,72.045,72,0.045,idle,true,1,79,off,false,living room,false
2024-11-06 09:58,72.058,72,0.058,idle,true,1,79,off,true,living room,false
2024-11-06 09:59,72.059,72,0.059,idle,true,1,79,off,true,living room,false
2024-11-06 10:00,72.085,72,0.085,idle,true,1,79,off,false,living room,false
2024-11-06 10:01,72.109,72,0.109,idle,true,1,79,off,false,living room,false
2024-11-06 10:02,72.095,72,0.095,idle,true,1,79,off,false,living room,false
2024-11-06 10:03,72.112,72,0.112,idle,true,1,79,off,true,living room,false
